video_id,country,category,days_trending,best_rank,peak_views,peak_likes
0ihGIc3ZWog,GB,Gaming,1,42,653360,11062
0ijm2Xui5N8,GB,Music,1,4,382912,63777
0ijm2Xui5N8,IE,Music,1,4,384492,64008
0ijm2Xui5N8,US,Music,1,7,400497,65573
0ijm2Xui5N8,GB,Music,1,16,808500,94700
0ijm2Xui5N8,IE,Music,2,7,1095431,110741
0ijm2Xui5N8,US,Music,1,43,818797,95276
0is_VwWU3EE,US,Other,2,7,292039,24630
0jSEH6f4Sdo,GB,Gaming,1,12,293678,15548
0jSEH6f4Sdo,IE,Gaming,1,45,895016,31351
0jSEH6f4Sdo,US,Gaming,1,34,323964,16539
0jZ46zxHIro,GB,Gaming,1,35,194671,7283
0jZ46zxHIro,US,Gaming,1,47,210183,7575
0lOYSDeWDZU,US,Other,1,26,666741,12337
0lknXuAFoug,GB,Gaming,1,42,74344,3588
0mJI3TOQwbg,GB,Sports,1,45,173562,6276
0mQMbB8hkLo,US,News,1,26,0,0
0mUR_FHpMH4,US,Sports,1,9,0,0
0nRLTk0GWu4,GB,Music,1,48,259438,743
0oMdyixr23w,IN,Movie/TV Trailer,3,17,176120,19027
0ocEc_b3db0,IN,Other,1,33,150394,418
0pVtPe1_Z-c,US,Other,2,13,95533,5648
0pg0raFMNIU,GB,Music,2,1,5612522,278801
0pg0raFMNIU,IE,Music,17,27,25738282,411059
0qsj9CfY49o,US,Other,1,6,0,0
0rClKIqxXkE,US,Music,1,36,95947,9090
0rDrr0ydsw8,GB,Other,1,9,367500,28747
0rDrr0ydsw8,US,Other,2,15,738608,45318
0rGw1dse-mo,IN,Sports,2,27,928421,11876
0sTz2jbHSPw,IN,Other,1,36,71921,442
0sZuXnq8Irw,GB,Other,1,48,268740,8867
0syjdGLMBMg,US,Other,1,2,0,0
0tZFp7o16Oc,US,Other,1,15,0,0
0tcQN8rZ2nI,IN,Gaming,1,24,519113,31817
0xEZGOUlN5Y,IN,Gaming,1,6,11198037,28904
0xQia-RHC0E,US,Other,1,33,323455,23295
0z6seSQH-5U,IN,Music,2,19,2662626,91124
0zFgSGY_E64,IN,Other,1,49,166838,1380
1-du5coAz5A,GB,Movie/TV Trailer,1,31,28787,2129
1-xtruSUufE,GB,Movie/TV Trailer,1,47,144419,4572
1-xtruSUufE,IN,Movie/TV Trailer,1,34,145291,4585
